conf,totalCredits_conf,avgCredPerGame_conf,avgRank_conf,avgMargin_conf,avgRecord_conf
FBS Independents,41.05069404388178,2.2287298115095626,26.0,126.5,"[np.float64(7.0), np.float64(2.5)]"
SEC,241.5971724268852,1.6330580207706498,39.0625,52.6875,"[np.float64(5.875), np.float64(3.375)]"
Big Ten,236.92381569377395,1.4284381027402189,47.44444444444444,39.77777777777778,"[np.float64(5.555555555555555), np.float64(3.6666666666666665)]"
Big 12,125.3608389474129,0.838231758120998,54.9375,19.9375,"[np.float64(5.5625), np.float64(3.8125)]"
ACC,77.13348385343863,0.5106853824188078,62.35294117647059,3.764705882352941,"[np.float64(5.176470588235294), np.float64(4.176470588235294)]"
American Athletic,-8.03522021264624,-0.06562351829981261,75.64285714285714,-9.071428571428571,"[np.float64(5.142857142857143), np.float64(4.071428571428571)]"
Mountain West,-17.49350695175938,-0.17094722842527663,80.0,-11.416666666666666,"[np.float64(4.75), np.float64(4.333333333333333)]"
Sun Belt,-56.21271117220617,-0.4406109918275349,88.5,-38.285714285714285,"[np.float64(4.571428571428571), np.float64(4.714285714285714)]"
Conference USA,-70.43982443408457,-0.6522205966118942,92.41666666666667,-39.0,"[np.float64(4.25), np.float64(4.75)]"
Mid-American,-107.779641052513,-0.8266530530440827,98.07692307692308,-59.23076923076923,"[np.float64(4.230769230769231), np.float64(5.769230769230769)]"
Pac-12,-19.124534139763618,-0.9560210808944256,102.0,-78.5,"[np.float64(3.0), np.float64(6.5)]"
